0,8.5625,7.625,8.5625,6.6875,7.75,8,7.9375,7.875,5.1875
8.5625,0,8.125,6.375,8.4375,7.1875,7.8125,8.25,7.3125,8.4375
7.625,8.125,0,8.6875,8.1875,8.3125,8.5625,8.0625,6.375,7.375
8.5625,6.375,8.6875,0,7.6875,6.8125,6.5,8.375,8.125,8.5625
6.6875,8.4375,8.1875,7.6875,0,7.875,5.875,7.3125,8.0625,7.5
7.75,7.1875,8.3125,6.8125,7.875,0,7.6875,7.4375,7.875,7.9375
8,7.8125,8.5625,6.5,5.875,7.6875,0,8.3125,8.0625,7.875
7.9375,8.25,8.0625,8.375,7.3125,7.4375,8.3125,0,8.0625,8.3125
7.875,7.3125,6.375,8.125,8.0625,7.875,8.0625,8.0625,0,7.75
5.1875,8.4375,7.375,8.5625,7.5,7.9375,7.875,8.3125,7.75,0
