0,2.1495,1.6315,1.4265,0.69517,2.2413,1.0486,2.1169,1.8002,1.4569
2.1495,0,2.1883,1.6853,2.1621,1.1701,2.2219,1.076,2.1574,1.8283
1.6315,2.1883,0,2.0337,1.6855,2.0298,1.4706,2.0204,0.90288,1.921
1.4265,1.6853,2.0337,0,1.4902,2.0432,1.5233,1.6334,2.0432,0.98082
0.69517,2.1621,1.6855,1.4902,0,2.2679,1.2056,2.1262,1.7916,1.5936
2.2413,1.1701,2.0298,2.0432,2.2679,0,2.313,1.3435,2.0614,2.1854
1.0486,2.2219,1.4706,1.5233,1.2056,2.313,0,1.8974,1.3977,1.0145
2.1169,1.076,2.0204,1.6334,2.1262,1.3435,1.8974,0,1.7494,1.5207
1.8002,2.1574,0.90288,2.0432,1.7916,2.0614,1.3977,1.7494,0,1.7304
1.4569,1.8283,1.921,0.98082,1.5936,2.1854,1.0145,1.5207,1.7304,0
