2746,2819,3036,2469,2346,2543,2497,3046,3070,3624,2819,2881,2897,2593,2562,4422,2608,2556,2895,2443,3036,2897,2359,2876,2676,2890,2313,2899,3282,3774,2469,2593,2876,6683,3303,2660,2717,2547,3236,2962,2346,2562,2676,3303,2864,2671,4204,2284,2790,2626,2543,4422,2890,2660,2671,2763,2585,2967,2797,3148,2497,2608,2313,2717,4204,2585,3053,3135,2768,3273,3046,2556,2899,2547,2284,2967,3135,2816,3225,2532,3070,2895,3282,3236,2790,2797,2768,3225,2773,3475,3624,2443,3774,2962,2626,3148,3273,2532,3475,3004
5031,5368,4748,4136,22586,3344,3255,5104,7464,4952,5368,5983,3750,7947,3904,3349,8244,3287,4367,3935,4748,3750,5284,3632,2799,3693,3368,4881,5552,7240,4136,7947,3632,6767,3777,10875,4488,3168,3487,4824,22586,3904,2799,3777,3352,3995,5516,4320,4047,3447,3344,3349,3693,10875,3995,4040,2734,4288,3272,4711,3255,8244,3368,4488,5516,2734,5128,2776,3935,3512,5104,3287,4881,3168,4320,4288,2776,5611,4034,5384,7464,4367,5552,3487,4047,3272,3935,4034,5151,3511,4952,3935,7240,4824,3447,4711,3512,5384,3511,5480
3708,7022,5908,3946,8182,4257,3180,6910,17108,6892,7022,3678,3180,6089,3315,7388,5542,4148,3894,3603,5908,3180,2990,4615,4104,6753,3585,3118,3942,4533,3946,6089,4615,6925,4627,4056,4614,11093,4338,6598,8182,3315,4104,4627,4025,3748,3089,3926,2865,3389,4257,7388,6753,4056,3748,2951,3833,7665,4164,4104,3180,5542,3585,4614,3089,3833,3881,4260,7941,3851,6910,4148,3118,11093,3926,7665,4260,3928,4689,3810,17108,3894,3942,4338,2865,4164,7941,4689,2943,10423,6892,3603,4533,6598,3389,4104,3851,3810,10423,2738
5021,14265,10118,4271,4972,6768,7904,4215,13766,4242,14265,4223,5132,5101,5708,8510,17577,4881,4928,13902,10118,5132,3555,4831,27961,17967,4929,5028,5233,10231,4271,5101,4831,3882,10340,8187,9569,13424,12676,9713,4972,5708,27961,10340,3790,14759,4121,21034,6550,5954,6768,8510,17967,8187,14759,4331,15541,11876,3971,13253,7904,17577,4929,9569,4121,15541,7104,7033,14403,9200,4215,4881,5028,13424,21034,11876,7033,6387,9087,6413,13766,4928,5233,12676,6550,3971,14403,9087,3044,5270,4242,13902,10231,9713,5954,13253,9200,6413,5270,3333
3912,3048,4536,3448,6003,9011,2600,3792,2729,5697,3048,3984,3096,6064,3288,2688,4456,2869,11035,2864,4536,3096,2784,2928,3416,3376,2528,3320,3712,3552,3448,6064,2928,3184,4040,6816,7263,2376,2304,3584,6003,3288,3416,4040,2453,3672,13824,2272,2680,3536,9011,2688,3376,6816,3672,2704,5280,5765,2800,2712,2600,4456,2528,7263,13824,5280,2664,3632,3600,6408,3792,2869,3320,2376,2272,5765,3632,3176,2368,2323,2729,11035,3712,2304,2680,2800,3600,2368,3808,5816,5697,2864,3552,3584,3536,2712,6408,2323,5816,3213
4097,3581,2548,2986,8690,3284,2301,3008,2219,2361,3581,2480,2763,2942,2158,2740,3377,2335,2792,3540,2548,2763,4616,2889,3248,2711,2227,3124,4410,2797,2986,2942,2889,4305,2789,2656,3289,2360,2009,2968,8690,2158,3248,2789,6760,2582,3579,4176,2471,2776,3284,2740,2711,2656,2582,2620,4446,3210,4090,3271,2301,3377,2227,3289,3579,4446,2678,2794,3453,2392,3008,2335,3124,2360,4176,3210,2794,3212,7678,2468,2219,2792,4410,2009,2471,4090,3453,7678,3102,2298,2361,3540,2797,2968,2776,3271,2392,2468,2298,3327
1864,900,1593,1620,788,2495,877,832,1529,1056,900,854,1575,854,751,743,1034,869,1380,900,1593,1575,1013,1786,946,2156,762,1495,676,777,1620,854,1786,2544,899,900,856,1054,1010,877,788,751,946,899,1506,789,963,1261,923,765,2495,743,2156,900,789,1080,720,911,675,946,877,1034,762,856,963,720,1625,1081,990,1358,832,869,1495,1054,1261,911,1081,900,2024,1354,1529,1380,676,1010,923,675,990,2024,1483,876,1056,900,777,877,765,946,1358,1354,876,1979
3776,4912,3711,11734,3506,3840,4648,3697,3169,13464,4912,3440,3369,4317,3905,4641,5296,2953,3408,3228,3711,3369,3640,4787,3816,4328,3664,4608,10080,3889,11734,4317,4787,3680,5197,8545,4959,3455,3672,3455,3506,3905,3816,5197,3553,3232,5217,4023,4105,3120,3840,4641,4328,8545,3232,5041,4328,3383,3713,3055,4648,5296,3664,4959,5217,4328,3641,5544,2696,4760,3697,2953,4608,3455,4023,3383,5544,3776,3936,3399,3169,3408,10080,3672,4105,3713,2696,3936,2896,4423,13464,3228,3889,3455,3120,3055,4760,3399,4423,4160
2368,2880,3199,3232,9479,4212,2752,2456,2524,2712,2880,1943,2168,6978,2959,3407,4663,2559,3202,2431,3199,2168,2047,2703,2352,2518,2368,2944,3175,2247,3232,6978,2703,2194,3839,3004,3013,2272,3247,3856,9479,2959,2352,3839,2416,2255,4248,2656,3017,2728,4212,3407,2518,3004,2255,2223,2907,3184,3347,2896,2752,4663,2368,3013,4248,2907,2267,3647,5079,2669,2456,2559,2944,2272,2656,3184,3647,1708,3143,4159,2524,3202,3175,3247,3017,3347,5079,3143,2008,2581,2712,2431,2247,3856,2728,2896,2669,4159,2581,4035
2941,3284,2651,4731,4764,3163,3400,3375,33612,4001,3284,6917,4689,3946,4718,4149,5711,2965,3093,3026,2651,4689,4966,31421,2949,3368,7851,3286,4205,2999,4731,3946,31421,3339,2833,3291,4817,5510,8011,10341,4764,4718,2949,2833,2897,3631,6709,3850,3689,4015,3163,4149,3368,3291,3631,3265,3431,4898,6635,3415,3400,5711,7851,4817,6709,3431,3207,2973,24101,2865,3375,2965,3286,5510,3850,4898,2973,2947,3289,3220,33612,3093,4205,8011,3689,6635,24101,3289,3384,3363,4001,3026,2999,10341,4015,3415,2865,3220,3363,3398
2952,2640,2689,2112,2071,2487,14345,2057,2986,4409,2640,2832,1216,2426,2231,2096,2024,2376,1968,2304,2689,1216,2896,2376,2551,3759,2598,1392,3424,2344,2112,2426,2376,1824,1808,2800,2945,1888,2336,1808,2071,2231,2551,1808,2337,2169,1777,1960,2312,2689,2487,2096,3759,2800,2169,2913,4001,2232,2033,1897,14345,2024,2598,2945,1777,4001,2536,2506,1689,2473,2057,2376,1392,1888,1960,2232,2506,3370,2393,2528,2986,1968,3424,2336,2312,2033,1689,2393,2665,1825,4409,2304,2344,1808,2689,1897,2473,2528,1825,2680
2000,3343,3329,1583,2112,1568,2688,2096,2815,5296,3343,2512,3344,2432,2000,4831,4384,2016,2496,3391,3329,3344,4000,3552,4143,3120,2640,1920,4544,2976,1583,2432,3552,3152,5071,1632,4144,1920,1744,3488,2112,2000,4143,5071,2832,2944,5807,1888,2048,1936,1568,4831,3120,1632,2944,2896,1568,1695,3520,2320,2688,4384,2640,4144,5807,1568,3200,2016,2048,8560,2096,2016,1920,1920,1888,1695,2016,3487,2592,1472,2815,2496,4544,1744,2048,3520,2048,2592,3424,1920,5296,3391,2976,3488,1936,2320,8560,1472,1920,6877
3447,3013,4000,2931,6811,3779,3692,3544,2963,5059,3013,3519,4237,3429,5203,3221,6547,3580,2832,3555,4000,4237,3301,3810,4138,3039,4081,4022,7765,3362,2931,3429,3810,3254,3305,4555,4992,3356,3262,2979,6811,5203,4138,3305,3698,2588,4590,3827,3439,4836,3779,3221,3039,4555,2588,3811,3374,3505,3209,3260,3692,6547,4081,4992,4590,3374,2796,3623,2974,3477,3544,3580,4022,3356,3827,3505,3623,3543,3871,2942,2963,2832,7765,3262,3439,3209,2974,3871,3892,4973,5059,3555,3362,2979,4836,3260,3477,2942,4973,3403
2062,946,1945,734,2683,978,914,1765,1607,2112,946,1572,980,1677,1708,2846,1167,2839,1888,1548,1945,980,2317,1256,1803,2199,2135,1263,2662,1725,734,1677,1256,1815,1193,2783,2272,4032,1541,1463,2683,1708,1803,1193,971,1072,893,1920,1423,5650,978,2846,2199,2783,1072,1785,2095,2551,1972,1207,914,1167,2135,2272,893,2095,2440,1086,835,1313,1765,2839,1263,4032,1920,2551,1086,1630,1152,1190,1607,1888,2662,1541,1423,1972,835,1152,29657,2248,2112,1548,1725,1463,5650,1207,1313,1190,2248,2310
7572,1349,4827,3665,1471,3840,5954,2975,3440,1431,1349,3315,3002,11374,3790,1439,2887,6847,4328,10217,4827,3002,2416,3891,3303,2860,1774,1709,1315,3400,3665,11374,3891,2439,6973,1551,5679,1159,1813,1353,1471,3790,3303,6973,9727,2092,3454,4829,2385,1375,3840,1439,2860,1551,2092,2033,2290,1901,2400,1802,5954,2887,1774,5679,3454,2290,2854,14080,3322,1906,2975,6847,1709,1159,4829,1901,14080,1432,2367,3464,3440,4328,1315,1813,2385,2400,3322,2367,1888,4651,1431,10217,3400,1353,1375,1802,1906,3464,4651,2536
2930,2954,3046,3193,1692718,2404,2042,13658,2871,3121,2954,2510,5560,3147,2690,2474,2413,3712,2280,3099,3046,5560,3176,2726,2425,2762,6700,2820,2281,3482,3193,3147,2726,8477,2809,2354,10354,3303,2750,3471,1692718,2690,2425,2809,4899,5786,2391,2619,2491,27861,2404,2474,2762,2354,5786,25146,2857,3447,2402,2460,2042,2413,6700,10354,2391,2857,2833,3028,3079,3195,13658,3712,2820,3303,2619,3447,3028,6967,3375,2800,2871,2280,2281,2750,2491,2402,3079,3375,2700,2390,3121,3099,3482,3471,27861,2460,3195,2800,2390,8693
2484,2518,3133,2096,1910,2519,2329,24040,3864,1474,2518,1988,2523,2254,2039,2428,3144,2655,2311,1985,3133,2523,1950,2327,4912,2320,3093,4490,4012,3514,2096,2254,2327,1800,2783,6945,2584,2639,2782,2888,1910,2039,4912,2783,2652,3033,2198,3385,2560,2656,2519,2428,2320,6945,3033,1638,2847,1829,2377,2337,2329,3144,3093,2584,2198,2847,2216,2481,2922,6267,24040,2655,4490,2639,3385,1829,2481,5655,2893,3053,3864,2311,4012,2782,2560,2377,2922,2893,1985,2576,1474,1985,3514,2888,2656,2337,6267,3053,2576,1598
2023,2776,3551,2167,5211,2903,3420,9665,2324,3466,2776,2215,2176,2529,3629,2491,2977,2608,3800,3015,3551,2176,2239,2788,2486,3871,2518,2826,3153,2844,2167,2529,2788,4049,3675,4057,3231,2557,3395,5464,5211,3629,2486,3675,2639,3189,2623,3624,3541,2471,2903,2491,3871,4057,3189,2608,2832,3023,2783,2867,3420,2977,2518,3231,2623,2832,1976,6177,2343,2975,9665,2608,2826,2557,3624,3023,6177,2304,2972,2632,2324,3800,3153,3395,3541,2783,2343,2972,2360,2416,3466,3015,2844,5464,2471,2867,2975,2632,2416,1856
2848,2288,3481,2470,2784,2082,2151,2873,4519,2983,2288,3936,2401,5512,2856,3111,2880,2664,2639,2374,3481,2401,2080,2568,2928,2575,2456,2624,2480,3184,2470,5512,2568,6072,3575,2304,6039,2640,2144,2168,2784,2856,2928,3575,2936,4832,2599,2320,2655,3542,2082,3111,2575,2304,4832,2816,2848,2718,2384,3369,2151,2880,2456,6039,2599,2848,6546,2784,3719,2536,2873,2664,2624,2640,2320,2718,2784,4237,2849,2527,4519,2639,2480,2144,2655,2384,3719,2849,3119,2183,2983,2374,3184,2168,3542,3369,2536,2527,2183,2915
15301,12135,18768,8629,42357,11561,17390,16628,9411,34812,12135,5930,15583,11391,8493,21928,6382,10567,23034,7280,18768,15583,13856,10038,10006,11769,10835,8378,25814,10748,8629,11391,10038,8551,16136,38430,14882,15623,7467,11014,42357,8493,10006,16136,7896,22207,20977,8985,5225,25248,11561,21928,11769,38430,22207,10967,14514,10279,36132,11000,17390,6382,10835,14882,20977,14514,6915,7869,9922,9758,16628,10567,8378,15623,8985,10279,7869,5148,14786,13975,9411,23034,25814,7467,5225,36132,9922,14786,7440,12117,34812,7280,10748,11014,25248,11000,9758,13975,12117,12742
