1277,2003,2999,1433,1993,2362,1947,1438,1882,2561,2003,1873,1122,1832,1689,2362,2215,2289,1966,941,2999,1122,2394,3326,2195,2167,2619,2793,1276,1905,1433,1832,3326,2809,2508,1511,2426,1252,1452,1808,1993,1689,2195,2508,2833,2472,2741,2104,1930,2107,2362,2362,2167,1511,2472,1593,2885,2410,1496,2377,1947,2215,2619,2426,2741,2885,1683,1953,2330,1545,1438,2289,2793,1252,2104,2410,1953,1713,2028,1871,1882,1966,1276,1452,1930,1496,2330,2028,2303,2665,2561,941,1905,1808,2107,2377,1545,1871,2665,1414
2552,3545,3751,3022,3488,4079,3711,3528,4280,4112,3545,2144,2423,4368,2767,3638,3688,3687,2863,3112,3751,2423,2168,3033,4256,3463,2519,3280,3384,3287,3022,4368,3033,2368,4297,4265,3063,2296,3065,2312,3488,2767,4256,4297,2312,3470,3064,2745,3367,2440,4079,3638,3463,4265,3470,2272,2881,5800,3736,3288,3711,3688,2519,3063,3064,2881,2072,6200,3072,2456,3528,3687,3280,2296,2745,5800,6200,2096,2743,2361,4280,2863,3384,3065,3367,3736,3072,2743,3680,5207,4112,3112,3287,2312,2440,3288,2456,2361,5207,2256
2639,3147,4513,6076,3686,6225,3446,3150,3059,3751,3147,4502,6177,5372,3556,8623,4211,4217,3866,4054,4513,6177,4850,4592,3844,3938,3398,3804,3048,2953,6076,5372,4592,3113,4351,3541,4584,8462,6110,3745,3686,3556,3844,4351,3114,3805,3564,3264,3215,4015,6225,8623,3938,3541,3805,3190,3516,3638,3492,3362,3446,4211,3398,4584,3564,3516,2914,3112,3218,3199,3150,4217,3804,8462,3264,3638,3112,3216,3770,4826,3059,3866,3048,6110,3215,3492,3218,3770,8039,3047,3751,4054,2953,3745,4015,3362,3199,4826,3047,3313
4487,2984,2936,2880,14265,3984,3680,3368,6495,2952,2984,4859,14672,6416,2587,3387,3176,2576,14136,3695,2936,14672,3152,10476,10815,4864,4130,2736,3248,2737,2880,6416,10476,3048,7984,4912,3264,3214,3592,3268,14265,2587,10815,7984,4184,6767,3623,10609,3128,2424,3984,3387,4864,4912,6767,3488,15010,3940,7480,3576,3680,3176,4130,3264,3623,15010,4448,2863,3080,3856,3368,2576,2736,3214,10609,3940,2863,2960,5717,2824,6495,14136,3248,3592,3128,7480,3080,5717,2823,3120,2952,3695,2737,3268,2424,3576,3856,2824,3120,3060
2088,8722,2712,3552,2784,2160,2288,2895,2289,3328,8722,1800,2903,14002,2312,4592,10569,2665,4800,3058,2712,2903,2209,7288,3448,5433,3024,2704,2927,2672,3552,14002,7288,2920,11121,9176,4673,2056,3104,3968,2784,2312,3448,11121,4289,3785,2744,2544,3408,2825,2160,4592,5433,9176,3785,2433,4584,2825,2345,4040,2288,10569,3024,4673,2744,4584,2568,5865,2585,7633,2895,2665,2704,2056,2544,2825,5865,2064,8505,3248,2289,4800,2927,3104,3408,2345,2585,8505,3112,6280,3328,3058,2672,3968,2825,4040,7633,3248,6280,2240
2840,4927,3165,3828,2762,2499,2960,5929,4745,2912,4927,2849,2611,4756,2316,3127,2912,4405,5497,4039,3165,2611,3366,13983,4610,3586,4309,27475,2350,3041,3828,4756,13983,3976,6381,3142,2626,3674,7335,4198,2762,2316,4610,6381,2960,3658,3445,4285,3533,2571,2499,3127,3586,3142,3658,2999,4143,3199,5110,3890,2960,2912,4309,2626,3445,4143,2278,10984,3415,3684,5929,4405,27475,3674,4285,3199,10984,2731,3714,2365,4745,5497,2350,7335,3533,5110,3415,3714,2658,4563,2912,4039,3041,4198,2571,3890,3684,2365,4563,4072
2928,2665,3047,3559,4729,3008,22691,3211,14991,3291,2665,2510,2898,3632,3990,5447,4070,3232,3709,3543,3047,2898,2789,3007,5604,4203,3919,3375,3235,3613,3559,3632,3007,2634,4153,2893,2799,2881,2763,2780,4729,3990,5604,4153,2746,4488,3199,5058,4670,2780,3008,5447,4203,2893,4488,2768,3384,2621,5327,4342,22691,4070,3919,2799,3199,3384,7710,2789,4048,2655,3211,3232,3375,2881,5058,2621,2789,4338,6883,3313,14991,3709,3235,2763,4670,5327,4048,6883,3404,3685,3291,3543,3613,2780,2780,4342,2655,3313,3685,3194
2384,2449,2757,1731,2356,2116,2404,1988,2676,3348,2449,3013,2517,3044,2164,3075,2032,3427,2852,2260,2757,2517,1972,3685,2716,2660,3139,2803,3139,2496,1731,3044,3685,3027,3844,3316,2773,2580,2580,2436,2356,2164,2716,3844,2884,2517,3363,2788,2331,1923,2116,3075,2660,3316,2517,2771,2987,2272,2180,4825,2404,2032,3139,2773,3363,2987,2164,2820,2116,3441,1988,3427,2803,2580,2788,2272,2820,2868,2148,1856,2676,2852,3139,2580,2331,2180,2116,2148,2292,2835,3348,2260,2496,2436,1923,4825,3441,1856,2835,3221
3536,4592,5647,5096,4400,9024,4209,10927,10096,5592,4592,4264,4048,6112,4600,5047,4847,5184,9648,24489,5647,4048,4968,4704,12048,5071,4872,4600,7912,4920,5096,6112,4704,4159,4120,4864,5096,4583,4816,28503,4400,4600,12048,4120,6064,4128,5008,9416,5231,3384,9024,5047,5071,4864,4128,4425,7264,6200,4592,4240,4209,4847,4872,5096,5008,7264,4152,4048,4224,3559,10927,5184,4600,4583,9416,6200,4048,9628,6071,8632,10096,9648,7912,4816,5231,4592,4224,6071,4049,4080,5592,24489,4920,28503,3384,4240,3559,8632,4080,3576
3003,2812,3709,3464,3241,3188,2629,2533,3487,2850,2812,2575,3118,3769,3668,2673,3929,3356,2898,6850,3709,3118,3561,3877,3235,2595,3274,2702,3210,2839,3464,3769,3877,3110,4056,2880,3672,3155,2871,3014,3241,3668,3235,4056,3208,3595,2805,3207,2731,4810,3188,2673,2595,2880,3595,3554,3717,4178,3278,3077,2629,3929,3274,3672,2805,3717,2371,3413,3169,3148,2533,3356,2702,3155,3207,4178,3413,2979,3117,2963,3487,2898,3210,2871,2731,3278,3169,3117,3217,3712,2850,6850,2839,3014,4810,3077,3148,2963,3712,3266
