2374,3160,2379,4800,3037,2490,2865,2561,3328,3749,3160,2886,2744,2421,2349,5211,2551,3228,3195,3885,2379,2744,2109,12578,4009,6503,5021,2842,2542,5403,4800,2421,12578,3729,2710,2401,2590,3204,5212,3261,3037,2349,4009,2710,2104,2573,3151,3450,5777,4117,2490,5211,6503,2401,2573,2848,2947,3772,3626,2859,2865,2551,5021,2590,3151,2947,1980,7733,3055,3129,2561,3228,2842,3204,3450,3772,7733,2728,2465,3251,3328,3195,2542,5212,5777,3626,3055,2465,2685,2998,3749,3885,5403,3261,4117,2859,3129,3251,2998,6316
2999,3456,3432,3927,9731,3000,6328,3393,3044,4463,3456,5584,3024,2752,3255,9287,2816,4423,3080,3463,3432,3024,3616,3512,3464,2911,2696,2988,3567,2695,3927,2752,3512,3832,2575,2616,4660,3111,3368,4152,9731,3255,3464,2575,3080,3640,3017,2928,3296,2930,3000,9287,2911,2616,3640,3806,4480,4041,3807,2768,6328,2816,2696,4660,3017,4480,3351,2743,3176,2945,3393,4423,2988,3111,2928,4041,2743,3832,3304,11128,3044,3080,3567,3368,3296,3807,3176,3304,3431,2735,4463,3463,2695,4152,2930,2768,2945,11128,2735,3304
5384,4272,5096,4488,8328,3352,5944,4136,4264,28696,4272,5032,3296,4344,3200,10448,2856,11728,4136,4224,5096,3296,6664,5376,4376,5040,5048,8984,7560,5384,4488,4344,5376,4608,13648,3664,6960,4329,4056,4392,8328,3200,4376,13648,6048,4912,4696,4160,5720,6008,3352,10448,5040,3664,4912,10432,3720,7408,4168,3840,5944,2856,5048,6960,4696,3720,3856,5448,8040,7504,4136,11728,8984,4329,4160,7408,5448,3608,6696,5232,4264,4136,7560,4056,5720,4168,8040,6696,3480,4559,28696,4224,5384,4392,6008,3840,7504,5232,4559,4240
3168,16432,4760,5760,3439,3580,5633,2679,4597,4587,16432,3399,2936,10579,2804,4280,4200,3623,5752,4051,4760,2936,4303,4760,4496,3215,4954,3423,3711,3144,5760,10579,4760,5060,5056,3329,3226,3552,4428,4607,3439,2804,4496,5056,2754,3919,5216,3303,3752,3896,3580,4280,3215,3329,3919,5552,3500,7762,3304,3593,5633,4200,4954,3226,5216,3500,2871,3639,4487,3687,2679,3623,3423,3552,3303,7762,3639,5694,4624,4168,4597,5752,3711,4428,3752,3304,4487,4624,3280,5536,4587,4051,3144,4607,3896,3593,3687,4168,5536,2911
3435,4493,4554,5976,4261,3976,3947,3511,4228,5871,4493,3351,4874,6716,3028,4683,4027,4376,3051,9064,4554,4874,2954,3200,4463,3206,5539,3053,3439,3192,5976,6716,3200,3015,3885,3660,7647,6442,5245,4080,4261,3028,4463,3885,2871,4296,5411,3066,2885,3836,3976,4683,3206,3660,4296,7395,3197,4387,4873,3704,3947,4027,5539,7647,5411,3197,3956,3099,4909,9483,3511,4376,3053,6442,3066,4387,3099,4291,3680,3580,4228,3051,3439,5245,2885,4873,4909,3680,2681,3941,5871,9064,3192,4080,3836,3704,9483,3580,3941,2914
2039,1555,1240,2129,2780,1898,1849,2417,1929,1928,1555,1814,1607,1542,1544,2713,1870,1781,1710,2030,1240,1607,3083,1116,5370,2178,1805,1572,2678,1798,2129,1542,1116,1270,2278,1747,4917,2196,1959,1643,2780,1544,5370,2278,1888,1154,2030,1712,2145,2597,1898,2713,2178,1747,1154,2987,1640,2241,2574,1240,1849,1870,1805,4917,2030,1640,3905,1761,4724,1664,2417,1781,1572,2196,1712,2241,1761,2645,3393,2410,1929,1710,2678,1959,2145,2574,4724,3393,1978,1482,1928,2030,1798,1643,2597,1240,1664,2410,1482,3144
5115,4012,3713,5533,9299,3749,8400,3038,4496,7633,4012,4350,5363,3375,3843,6543,3149,4200,3939,4856,3713,5363,4070,4440,5343,3712,7169,3488,5212,8044,5533,3375,4440,9094,4688,4651,6151,3825,3919,6787,9299,3843,5343,4688,4349,3788,7630,3188,11137,3282,3749,6543,3712,4651,3788,3864,5457,5755,4650,16050,8400,3149,7169,6151,7630,5457,4088,5681,4124,11419,3038,4200,3488,3825,3188,5755,5681,4217,5064,3657,4496,3939,5212,3919,11137,4650,4124,5064,6583,4218,7633,4856,8044,6787,3282,16050,11419,3657,4218,4818
2628,3139,2844,2131,4198,14139,2976,1617,2966,1618,3139,2734,3135,2301,2455,2899,5206,2529,2257,2309,2844,3135,2878,6297,4117,2141,2401,2625,2311,3765,2131,2301,6297,3651,9779,3209,2606,2359,2436,3932,4198,2455,4117,9779,2663,2945,5284,3440,5311,1940,14139,2899,2141,3209,2945,3383,2698,4176,3015,2433,2976,5206,2401,2606,5284,2698,2333,3441,3465,4093,1617,2529,2625,2359,3440,4176,3441,2780,3082,3040,2966,2257,2311,2436,5311,3015,3465,3082,3177,3019,1618,2309,3765,3932,1940,2433,4093,3040,3019,2479
1929,2024,7032,3456,2728,2753,3440,1896,3120,2849,2024,4880,2767,4360,1951,2320,1592,3552,3904,3015,7032,2767,2448,2128,2201,1784,1472,1767,1944,3120,3456,4360,2128,1768,3808,1480,2832,2264,2033,2632,2728,1951,2201,3808,2064,1616,1984,1816,2368,2681,2753,2320,1784,1480,1616,1703,1752,2449,2808,2672,3440,1592,1472,2832,1984,1752,2271,3096,2568,2616,1896,3552,1767,2264,1816,2449,3096,1912,1264,2376,3120,3904,1944,2033,2368,2808,2568,1264,1936,2625,2849,3015,3120,2632,2681,2672,2616,2376,2625,1200
3267,3252,3705,3706,3298,3629,5742,3054,9761,2720,3252,4381,3628,3720,3747,3220,2828,3967,3266,3667,3705,3628,2829,5927,5188,3321,2914,3276,3841,4228,3706,3720,5927,6203,4511,3106,3511,3250,3659,2806,3298,3747,5188,4511,2935,3895,3089,3074,3998,7396,3629,3220,3321,3106,3895,3460,4588,4050,2722,4871,5742,2828,2914,3511,3089,4588,2840,4043,3789,3420,3054,3967,3276,3250,3074,4050,4043,2898,3795,2912,9761,3266,3841,3659,3998,2722,3789,3795,3198,3291,2720,3667,4228,2806,7396,4871,3420,2912,3291,2583
2936,7359,7264,5159,5192,9327,4831,7346,4977,10711,7359,3385,4488,11007,9199,8727,4624,7521,7472,11464,7264,4488,4056,6320,3720,11239,7433,13400,6375,8080,5159,11007,6320,3183,9431,4999,6473,10111,6799,8464,5192,9199,3720,9431,3168,8985,10252,7072,9632,4144,9327,8727,11239,4999,8985,17000,9048,13152,3720,6105,4831,4624,7433,6473,10252,9048,7424,6256,10553,10586,7346,7521,13400,10111,7072,13152,6256,4144,14991,14296,4977,7472,6375,6799,9632,3720,10553,14991,3127,18480,10711,11464,8080,8464,4144,6105,10586,14296,18480,2915
4174,3008,3233,4967,4306,3381,4215,3567,3538,8325,3008,4031,3675,3612,3562,4785,3329,3149,3839,3782,3233,3675,4117,3025,2950,2770,6497,3006,4355,3288,4967,3612,3025,5342,3159,3997,6757,3462,3546,5351,4306,3562,2950,3159,3679,3230,5020,5050,3663,4068,3381,4785,2770,3997,3230,3885,4723,5553,3731,3195,4215,3329,6497,6757,5020,4723,4518,3199,4081,3742,3567,3149,3006,3462,5050,5553,3199,3871,3508,3040,3538,3839,4355,3546,3663,3731,4081,3508,3905,4365,8325,3782,3288,5351,4068,3195,3742,3040,4365,3170
