0,8.8235,7.7059,6.1765,5.2941,8.7647,5.0588,8.6471,8,7.4118
8.8235,0,8.8235,8.1765,8.5294,6,8.5294,5.7059,8.5882,7.9412
7.7059,8.8235,0,8.3529,7.4706,8.7059,7.8235,8.2353,4.2353,7.9412
6.1765,8.1765,8.3529,0,7.1765,8.1176,6.8235,7.5294,8.8235,4.6471
5.2941,8.5294,7.4706,7.1765,0,8.6471,4.8824,8.4118,7.4118,7.4118
8.7647,6,8.7059,8.1176,8.6471,0,8.7059,6.1176,8.1176,8.7059
5.0588,8.5294,7.8235,6.8235,4.8824,8.7059,0,8,7.3529,5.1765
8.6471,5.7059,8.2353,7.5294,8.4118,6.1176,8,0,8.0588,7.2941
8,8.5882,4.2353,8.8235,7.4118,8.1176,7.3529,8.0588,0,8
7.4118,7.9412,7.9412,4.6471,7.4118,8.7059,5.1765,7.2941,8,0
