0,0.6817,1,0.97817,0.94644,0.67514,0.8479,0.85963,0.95684,0.89601
0.6817,0,0.75848,0.75153,0.86813,0.30692,0.5893,0.59797,0.64265,0.65938
1,0.75848,0,0.3492,0.50109,0.70816,0.91986,0.93685,0.93222,0.94082
0.97817,0.75153,0.3492,0,0.38733,0.67916,0.85686,0.89569,0.86885,0.8614
0.94644,0.86813,0.50109,0.38733,0,0.81943,0.95666,0.97902,0.96924,0.9439
0.67514,0.30692,0.70816,0.67916,0.81943,0,0.48423,0.52054,0.5793,0.55269
0.8479,0.5893,0.91986,0.85686,0.95666,0.48423,0,0.21534,0.36641,0.30393
0.85963,0.59797,0.93685,0.89569,0.97902,0.52054,0.21534,0,0.35208,0.32403
0.95684,0.64265,0.93222,0.86885,0.96924,0.5793,0.36641,0.35208,0,0.287
0.89601,0.65938,0.94082,0.8614,0.9439,0.55269,0.30393,0.32403,0.287,0
