0,2,3.4375,4.9375,5.8125,6,7.125,6.9375,7.75,8
2,0,1.5625,3.125,4.125,4.75,5.25,5.9375,5.875,7.125
3.4375,1.5625,0,1.75,2.5,4.0625,4.25,4.625,5.25,5.5625
4.9375,3.125,1.75,0,1.3125,2.9375,3.125,4.3125,4.9375,4.6875
5.8125,4.125,2.5,1.3125,0,1,2,3.25,4,4.125
6,4.75,4.0625,2.9375,1,0,1.1875,2.125,2.875,3.125
7.125,5.25,4.25,3.125,2,1.1875,0,1.5,1.75,2.5
6.9375,5.9375,4.625,4.3125,3.25,2.125,1.5,0,0.5,1.625
7.75,5.875,5.25,4.9375,4,2.875,1.75,0.5,0,0.9375
8,7.125,5.5625,4.6875,4.125,3.125,2.5,1.625,0.9375,0
