0,2,3.7857,4.7857,5.7143,6.5,7.2857,7.7143,8.4286,8.2857
2,0,1.2857,2.6429,4.2143,5.0714,5.7857,5.6429,6.9286,7.8571
3.7857,1.2857,0,1.3571,2.5714,3.5714,4.5,4.9286,5.2143,6.2857
4.7857,2.6429,1.3571,0,1.6429,2.2857,3.6429,3.7143,4,5.2857
5.7143,4.2143,2.5714,1.6429,0,1.0714,2.2857,2.4286,3.8571,4.3571
6.5,5.0714,3.5714,2.2857,1.0714,0,0.64286,1.2143,2.5,3.3571
7.2857,5.7857,4.5,3.6429,2.2857,0.64286,0,0.57143,1.5714,2.2857
7.7143,5.6429,4.9286,3.7143,2.4286,1.2143,0.57143,0,1.6429,1.1429
8.4286,6.9286,5.2143,4,3.8571,2.5,1.5714,1.6429,0,0.35714
8.2857,7.8571,6.2857,5.2857,4.3571,3.3571,2.2857,1.1429,0.35714,0
